4k;read;174
8k;read;310
16k;read;522
32k;read;692
64k;read;771
128k;read;798
256k;read;807
512k;read;808
1m;read;809
2m;read;813
4m;read;816
8m;read;819
16m;read;845
32m;read;844
64m;read;832
128m;read;837
4k;randread;19
8k;randread;40
16k;randread;78
32k;randread;144
64k;randread;246
128k;randread;393
256k;randread;563
512k;randread;721
1m;randread;725
2m;randread;742
4m;randread;754
8m;randread;755
16m;randread;810
32m;randread;802
64m;randread;818
128m;randread;822
4k;write;42
8k;write;68
16k;write;118
32k;write;307
64k;write;507
128k;write;686
256k;write;705
512k;write;700
1m;write;695
2m;write;692
4m;write;690
8m;write;687
16m;write;716
32m;write;731
64m;write;725
128m;write;716
4k;randwrite;15
8k;randwrite;29
16k;randwrite;56
32k;randwrite;108
64k;randwrite;200
128k;randwrite;355
256k;randwrite;548
512k;randwrite;636
1m;randwrite;639
2m;randwrite;645
4m;randwrite;661
8m;randwrite;666
16m;randwrite;701
32m;randwrite;729
64m;randwrite;723
128m;randwrite;714
